Every stage in Houston is lit tonight.

Tonight in Houston — Saturday, June 27:

• Pride Comedy Show — The Den Comedy Club, 6:00 PM
• Liza Treyger — Punch Line Houston, 7:00 PM
• Craig Robinson — Houston Improv, 7:00 PM
• Jack Bensinger — The Secret Group, 7:00 PM
• The Riot Comedy  Club Presents Steve Furey — The Riot Comedy Club upstairs at Rudyard's, 7:00 PM
• The Best of the Secret Group Comedy Showcase 7pm — The Secret Group, 7:00 PM
• Pride Comedy Show — The Den Comedy Club, 8:00 PM
• The Best of the Secret Group Comedy Showcase 9pm — The Secret Group, 9:00 PM
…plus 3 more on the full calendar.

Every show, every night: comedyhouston.com (link in bio)

#HoustonComedy #StandUp #LiveComedy #HoustonTonight #ThingsToDoInHouston
